Report_Month,Community_ID,Unit_Type,New_Leads,Email_Leads,Call_Leads,Online_Leads,Walk_In_Leads,Off_Site_Event_Leads,Chat_Leads,Text_Leads,Other_Leads,Emails,Calls,Chats,Texts,First_Visits_Tours,Source_File_Name,Source_Sheet
2026-04-01,VIE,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A1,1,0,0,1,0,0,0,0,0,9,9,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A2,1,0,1,0,0,0,0,0,0,2,7,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A3,2,0,1,0,1,0,0,0,0,4,14,0,2,2,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A4-A,0,0,0,0,0,0,0,0,0,0,3,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A4-B,0,0,0,0,0,0,0,0,0,0,0,0,2,0,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,B1,2,0,2,0,0,0,0,0,0,12,21,0,4,3,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,B3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,H2A,2,0,1,1,0,0,0,0,0,13,10,0,3,2,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,H3B,1,0,1,0,0,0,0,0,0,7,14,0,5,1,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,Unknown,55,0,17,5,15,4,0,1,13,208,339,0,24,20,02 - RISE - Box Score-11.xlsx,Rise Viera
